ID	chrom	start	end	num.mark	seg.median.logR	copy.number	call	subclone.status	logR_Copy_Number	Corrected_Copy_Number	Corrected_Call
sample20200117-1_ZXY-WGS_I7	14	94000001	106000000	12	-0.0178995173723094	1	HETD	TRUE	0.493715549352577	1	HETD
sample20200117-1_ZXY-WGS_I7	15	25000001	41000000	16	-0.205125266303675	1	HETD	FALSE	0.974796816953649	1	HETD
sample20200117-1_ZXY-WGS_I7	15	41000001	57000000	16	0.0376067316308526	2	NEUT	FALSE	2.05136552471876	2	NEUT
sample20200117-1_ZXY-WGS_I7	15	57000001	81000000	24	-0.00759290400019868	1	HETD	TRUE	0.836061681124825	1	HETD
sample20200117-1_ZXY-WGS_I7	15	81000001	102000000	21	0.0278497850693204	2	NEUT	FALSE	2.00450754172944	2	NEUT
sample20200117-1_ZXY-WGS_I7	16	1000001	77000000	76	0.0284860135823525	2	NEUT	FALSE	2.00755339630032	2	NEUT
sample20200117-1_ZXY-WGS_I7	16	77000001	90000000	13	-0.00933423691455167	1	HETD	TRUE	0.778049451775402	1	HETD
sample20200117-1_ZXY-WGS_I7	17	1000001	18000000	17	-0.215291938256819	1	HETD	FALSE	0.933537953224154	1	HETD
sample20200117-1_ZXY-WGS_I7	17	26000001	70000000	44	0.0258213558418308	2	NEUT	FALSE	1.99480568502302	2	NEUT
sample20200117-1_ZXY-WGS_I7	17	70000001	81000000	11	-0.0143086494155367	1	HETD	TRUE	0.612712886728707	1	HETD
sample20200117-1_ZXY-WGS_I7	18	1000001	78000000	77	-0.206521795103255	1	HETD	FALSE	0.96911211754233	1	HETD
sample20200117-1_ZXY-WGS_I7	19	1000001	24000000	23	-0.200888070968584	1	HETD	FALSE	0.992078426707711	1	HETD
sample20200117-1_ZXY-WGS_I7	19	28000001	59000000	31	0.234247508399059	3	GAIN	FALSE	3.06654890143343	3	GAIN
sample20200117-1_ZXY-WGS_I7	20	1000001	24000000	23	0.0185617143960774	2	NEUT	FALSE	1.96019480864303	2	NEUT
sample20200117-1_ZXY-WGS_I7	20	24000001	61000000	37	0.00520091562240481	1	HETD	TRUE	1.26443964747704	1	HETD
sample20200117-1_ZXY-WGS_I7	21	16000001	48000000	32	-0.225001275882002	1	HETD	FALSE	0.894405566256306	1	HETD
sample20200117-1_ZXY-WGS_I7	22	22000001	50000000	28	-0.0157441309812213	1	HETD	TRUE	0.56510709942856	1	HETD
sample20200117-1_ZXY-WGS_I7	X	4000001	151000000	147	-0.00135613333843556	1	HETD	TRUE	0.522207076382398	1	HETD
